ماه,نام کالا,وزن خالص فروش
اردیبهشت,کالباس نوروزی (90درصد گوشت),587
اردیبهشت,وکيوم سوسيس کراکو پنير (55درصد گوشت),576
اردیبهشت,توری سوسیس فسقلی 500gr(55درصد),515
اردیبهشت,سوسیس کوکتل مرغ (70درصد),487
اردیبهشت,وکیوم بیکن صبحانه 300gr(97درصد گوشت),452
اردیبهشت,کالباس خشک خانواده 500gr(60درصد گوشت),390
اردیبهشت,کالباس مخلوط گوشت و مرغ (90درصد),365
اردیبهشت,کالباس پپرونی پیتزایی (55درصد گوشت),319
اردیبهشت,بیف برگر 85 % -500 گرمی  رباط,319
اردیبهشت,سالامی روسی (97درصد گوشت),283
اردیبهشت,کالباس لیونر خانواده 500gr(55درصد گوشت),267
اردیبهشت,فيله بوقلمون فرآوري شده معمولي (98درصد),255
اردیبهشت,وکيوم کالباس مرغ تنوري 300gr (90درصد مرغ),255
اردیبهشت,وکيوم کالباس گوشت تنوري 300gr (90درصد گوشت),253
اردیبهشت,هندران (98درصد ران بوقلمون),232
اردیبهشت,کالباس مامریچ با گوشت نمایشی (55درصد مرغ),222
اردیبهشت,پرایم برگر 75% - 500 گرمی  رباط,210
اردیبهشت,دارفرش بیکن صبحانه 250gr(97درصد گوشت),205
اردیبهشت,پپرونی 70%گوشت بیگ بوی,184
اردیبهشت,کالباس گوشت تنوری کیکی (90درصد گوشت),179
اردیبهشت,سوسيس کبابي  (90درصد گوشت),166
اردیبهشت,وکیوم بیکن گوساله 300gr(97درصد),162
اردیبهشت,کالباس قارچ و مرغ خانواده 500gr (60درصد),160
اردیبهشت,کالباس فيله مخلوط گوشت و مرغ (97/5درصد),157
اردیبهشت,وکيوم سوسيس کوکتل شکاري پلاس (90درصد گوشت),142
اردیبهشت,وکیوم بال مرغ 300gr(98درصد),139
اردیبهشت,وکیوم بیکن سینه بوقلمون 300gr(98درصد),134
اردیبهشت,سوسيس هات داگ باربيکيو گوشت (90درصد),129
اردیبهشت,ژامبون فیله مرغ اسپایسی (98درصد),111
اردیبهشت,کالباس هامق (40درصد مرغ),110
اردیبهشت,استيک ژانويه (97درصد گوشت),104
اردیبهشت,توری کوکتل رویال 500gr(70درصد),99
اردیبهشت,وکيوم کالباس مرغ و قارچ 300gr (60درصد),94
اردیبهشت,فيله بوقلمون فرآوري شده اسپايسي (98درصد),91
اردیبهشت,کالباس مرغ خانواده 500gr(70درصد),89
اردیبهشت,وکیوم سوسیس فرانکفورتر (مخلوط گوشت مرغ 80%)400gr,81
اردیبهشت,توری هات داگ آلمانی 500gr(40درصد),80
اردیبهشت,وکيوم سوسيس ساليکسو (90درصد گوشت),78
اردیبهشت,توری کوکتل دودی 500gr(70درصد ),77
اردیبهشت,کالباس مرغ خانواده 500gr(90درصد),76
اردیبهشت,دارفرش کالباس نوروزی 250gr (90درصد گوشت),72
اردیبهشت,توری هات داگ رویال 500gr(70درصد),71
اردیبهشت,وکیوم بیکن ران بوقلمون 300gr(98درصد),69
